ES_0,ES_1,ES_2,UES_0,UES_1,UES_2,TSS_0,TSS_1,TSS_2,UCBS_0,UCBS_1,UCBS_2,EGS_0,EGS_1,EGS_2,PSI_0,PSI_1,PSI_2,A/B_0,A/B_1,A/B_2
0.951,478.136,0.015,0.931,525.895,0.041,0.941,592.136,0.013,0.946,538.513,0.026,0.939,689.851,0.009,0.915,293.496,0.018,0.606,2000,0.055
0.956,698.884,0.023,0.854,936.236,0.084,0.925,1026.136,0.022,0.943,816.16,0.043,0.769,1146.878,0.014,0.799,490.217,0.021,0.172,2000,0.099
0.953,766.355,0.026,0.753,1187.124,0.1,0.851,1222.766,0.026,0.932,946.423,0.05,0.574,1368.717,0.016,0.728,563.921,0.021,0.051,2000,0.111
0.954,811.642,0.028,0.662,1338.287,0.107,0.781,1352.816,0.028,0.935,1042.979,0.055,0.386,1489.646,0.017,0.668,614.039,0.022,0.02,2000,0.118
